Date,Close,High,Low,Open,Volume
2025-12-01,283.1000061035156,283.4200134277344,276.1400146484375,278.010009765625,46587700
2025-12-02,286.19000244140625,287.3999938964844,282.6300048828125,283.0,53669500
2025-12-03,284.1499938964844,288.6199951171875,283.29998779296875,286.20001220703125,43538700
2025-12-04,280.70001220703125,284.7300109863281,278.5899963378906,284.1000061035156,43989100
2025-12-05,278.7799987792969,281.1400146484375,278.04998779296875,280.5400085449219,47265800
2025-12-08,277.8900146484375,279.6700134277344,276.1499938964844,278.1300048828125,38211800
2025-12-09,277.17999267578125,280.0299987792969,276.9200134277344,278.1600036621094,32193300
2025-12-10,278.7799987792969,279.75,276.44000244140625,277.75,33038300
2025-12-11,278.0299987792969,279.5899963378906,273.80999755859375,279.1000061035156,33248000
2025-12-12,278.2799987792969,279.2200012207031,276.82000732421875,277.8999938964844,39532900
2025-12-15,274.1099853515625,280.1499938964844,272.8399963378906,280.1499938964844,50409100
2025-12-16,274.6099853515625,275.5,271.7900085449219,272.82000732421875,37648600
2025-12-17,271.8399963378906,276.1600036621094,271.6400146484375,275.010009765625,50138700
2025-12-18,272.19000244140625,273.6300048828125,266.95001220703125,273.6099853515625,51630700
2025-12-19,273.6700134277344,274.6000061035156,269.8999938964844,272.1499938964844,144632000
2025-12-22,270.9700012207031,273.8800048828125,270.510009765625,272.8599853515625,36571800
2025-12-23,272.3599853515625,272.5,269.55999755859375,270.8399963378906,29642000
2025-12-24,273.80999755859375,275.42999267578125,272.20001220703125,272.3399963378906,17910600
2025-12-26,273.3999938964844,275.3699951171875,272.8599853515625,274.1600036621094,21521800
2025-12-29,273.760009765625,274.3599853515625,272.3500061035156,272.69000244140625,23715200
2025-12-30,273.0799865722656,274.0799865722656,272.2799987792969,272.80999755859375,22139600
2025-12-31,271.8599853515625,273.67999267578125,271.75,273.05999755859375,27293600
2026-01-02,271.010009765625,277.8399963378906,269.0,272.260009765625,37838100
2026-01-05,267.260009765625,271.510009765625,266.1400146484375,270.6400146484375,45647200
2026-01-06,262.3599853515625,267.54998779296875,262.1199951171875,267.0,52352100
2026-01-07,260.3299865722656,263.67999267578125,259.80999755859375,263.20001220703125,48309800
2026-01-08,259.0400085449219,259.2900085449219,255.6999969482422,257.0199890136719,50419300
2026-01-09,259.3699951171875,260.2099914550781,256.2200012207031,259.0799865722656,39997000
2026-01-12,260.25,261.29998779296875,256.79998779296875,259.1600036621094,45263800
2026-01-13,261.04998779296875,261.80999755859375,258.3900146484375,258.7200012207031,45730800
2026-01-14,259.9599914550781,261.82000732421875,256.7099914550781,259.489990234375,40019400
2026-01-15,258.2099914550781,261.0400085449219,257.04998779296875,260.6499938964844,39388600
2026-01-16,255.52999877929688,258.8999938964844,254.92999267578125,257.8999938964844,72142800
2026-01-20,246.6999969482422,254.7899932861328,243.4199981689453,252.72999572753906,80267500
2026-01-21,247.64999389648438,251.55999755859375,245.17999267578125,248.6999969482422,54446100
2026-01-22,249.77999877929688,250.7799072265625,248.38499450683594,249.1999969482422,16457049
